exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
F042-20230511_114240_proc,CA1100L111,NaCl,F042,20230511,114240,-0.189546865310172,-2.15878937477202,-2.78530479110721,-1.54751498954234,-3.88635308120372,-0.637208352126124,ok,25.3,43,2359,3.5054958012897,111,CA1100,E
F042-20230511_120325_proc,CA1100L34,NGM,F042,20230511,120325,-0.315894688199143,-2.14559644672048,-3.57840529476313,-2.44990381766514,-3.37409786187616,-0.566496699248759,ok,24.7,41,2360,4.98491117905047,34,CA1100,E
F042-20230511_122411_proc,A6140L47,NGM,F042,20230511,122411,-0.427445884465588,-2.14707229955547,-3.59772368833847,-1.99317755708614,-4.11707054239628,-1.07793775230605,ok,24.5,42,2361,4.98605995731424,3,CA1100,E
F042-20230511_124451_proc,CA1100L1,NGM,F042,20230511,124451,-0.657819940989441,-1.92779907633291,-3.17114502968968,-1.47905561227097,-4.13878753735371,-1.5388023886243,ok,24.2,41,2362,4.94516835318449,1,CA1100,E
F042-20230511_132855_proc,CA1100L44,NaCl,F042,20230511,132855,0.461690981277704,-1.95918201452607,-3.08715150811694,-1.04642023917901,-4.53178258245229,0.0231867691930451,ok,24.1,42,2363,3.26051924971801,44,CA1100,E
F042-20230511_134933_proc,CA1100L97,NGM,F042,20230511,134933,-0.932296875027834,-1.82430793488103,-4.0770072340015,-2.53405418513958,-3.51243898484771,-1.37734460470478,ok,24.1,42,2364,5.144953247461,45,CA1100,E
F042-20230511_141026_proc,CA1100L111,NGM,F042,20230511,141026,-1.00277429598019,-1.78163178651205,-2.83522742445584,-1.46779625443229,-3.83242041346505,-1.7585627081834,ok,23.9,43,2365,4.9356771350941,111,CA1100,E
F042-20230511_143135_proc,CA1100L105,NaCl,F042,20230511,143135,0.38252919902988,-2.21356558834334,-2.87685565095911,-1.26276302088608,-3.88616131310736,-0.108314841553522,ok,24,43,2366,2.22655199011082,3,CA1100,E
F042-20230511_145444_proc,CA1100L116,NGM,F042,20230511,145444,-1.54016264217033,-0.945606962002895,-3.04882470777327,-0.547211428668365,-4.72462991189624,-3.44278084715095,ok,24,43,2367,5.60701522863007,116,CA1100,E
F042-20230511_153541_proc,CA1100L105,NGM,F042,20230511,153541,-0.394300363917175,-2.1781484459029,-3.3953781544898,-2.11764444707623,-3.78672317559298,-0.85492209669578,ok,24.3,41,2368,4.86624650811418,108,CA1100,E
