Line	Reads	Reads_after_fastp	Reads_final	Coverage	percentage_after_fastp	percentage_final
A6140L251CeMee	41042042	38203282	14823699	7.82246	93.0832876200458	36.1183271534102
A6140L252CeMee	5167852	4882242	3064446	3.3715	94.4733324406349	59.2982538973639
A6140L253CeMee	7698322	7069114	6010757	6.26787	91.8266863869815	78.0787943138778
A6140L257CeMee	4039502	3693784	2894296	3.27653	91.4415687874396	71.649822181051
A6140L258CeMee	3701048	3380700	2806383	3.19933	91.3443975868457	75.8267117854186
A6140L25CeMee	505838	471818	361837	1.75977	93.274526627102	71.5321901478339
A6140L261CeMee	17723150	15740980	10446759	11.3857	88.8159271912724	58.9441436764909
A6140L264CeMee	4570514	4111730	2874327	3.2554	89.9620917909889	62.8884847524808
A6140L265CeMee	14695994	13379528	11228063	12.0897	91.0420077743635	76.4022018517427
A6140L266CeMee	2612352	2374856	1781325	2.38436	90.9087289921113	68.188551925621
A6140L268CeMee	3251692	2832894	1691855	2.26068	87.1206128993767	52.0299893101807
A6140L26CeMee	4875926	4664856	344831	1.55771	95.671181227935	7.0721130714453
A6140L271CeMee	4437260	4187062	3673893	3.97915	94.3614302520024	82.7964329338376
A6140L272CeMee	4107810	3791476	3087175	3.50873	92.2992056594633	75.1537924100677
A6140L273CeMee	3732458	3381156	2412894	2.90443	90.5879182029644	64.6462465217291
A6140L27CeMee	423594	382666	292565	1.61295	90.3379179119629	69.0673144567676
A6140L282CeMee	3900740	3356446	1684754	2.27939	86.0463911975676	43.1906253685198
A6140L283CeMee	4169066	3996286	3356313	3.61169	95.8556664730182	80.5051539121712
A6140L287CeMee	3484788	3250154	2733148	3.16792	93.2669074847595	78.4308256341562
A6140L289CeMee	2783530	2499258	1745217	2.29393	89.787356342486	62.697977029168
A6140L28CeMee	2819326	2798230	2355286	2.993	99.2517360532269	83.540746972858
A6140L290CeMee	3581872	3224314	2376861	2.85519	90.0175662335226	66.3580663965658
A6140L293CeMee	2405894	2126730	602300	1.52963	88.3966625296044	25.0343531344274
A6140L29CeMee	10405200	9529784	7876297	8.83204	91.586745088994	75.6957771114443
