Line	Reads	Reads_after_fastp	Reads_final	Coverage
GA250L38	4531176	4219840	3456218	3.85836
GA250L39	4252018	3976110	3562811	3.9431
GA250L3	4193312	3938630	3457778	3.81425
GA250L40	4561070	4278970	3551978	3.9558
GA250L41	3274082	2931596	2005078	2.55847
GA250L42	3978354	3679200	3130687	3.6214
GA250L43	136328	134408	86044	1.36904
GA250L44	4212776	3908634	2911409	3.38805
GA250L45	2377050	2197668	1735028	2.56998
GA250L46	4170622	3937370	3423993	3.83899
GA250L47	3681992	3425612	2798683	3.29765
GA250L48	4321772	3769834	2518860	2.9985
GA250L49	4313106	4047742	3455546	3.89838
GA250L4	3870602	3574356	2789763	3.19868
GA250L50	4104952	3867752	3456451	3.81596
GA250L51	6548372	6224752	4210319	6.79097
GA250L52	5271846	4944322	2830633	4.84256
GA250L53	5162322	4890190	3109718	5.20822
GA250L54	5809766	5528728	4619713	7.31897
GA250L56	5604934	5342430	4422287	6.99964
GA250L57	6695068	6342554	3907390	6.19466
GA250L59	6505444	6191596	5027601	7.93818
GA250L5	3273674	3018540	2610125	3.07855
GA250L60	5299520	5054424	4366648	6.89716
GA250L61	4705782	4584186	4392274	6.9694
GA250L6	3293324	2887008	829367	1.61821
GA250L7	4181836	3873468	3223466	3.62526
GA250L8	2976746	2708626	2152360	2.68302
GA250L9	2869584	2574488	2022706	2.53108
GA450L10	6119858	5548124	2994826	3.42224
GA450L11	5171088	4677512	3570652	3.93223
GA450L12	4111682	3510486	1800200	2.35534
GA450L13	5542352	5024750	3014753	3.36922
GA450L14	5689228	5178672	4104549	4.45723
GA450L15	5698264	5175090	3922250	4.28967
GA450L16	6477902	6100236	5238206	5.48596
GA450L17	2876410	2523910	1044879	1.815
GA450L18	3345654	2984414	2569150	3.03438
GA450L19	8461418	7974932	6737586	6.92572
GA450L1	8849244	8168114	5291164	5.53593
GA450L20	4270798	3873886	3371474	3.81402
GA450L21	3796264	3367542	2852284	3.26033
GA450L22	7512356	6743188	4705399	5.01397
GA450L23	4240968	3751424	2853429	3.29058
GA450L24	4783404	4196208	2594177	3.02959
GA450L25	4148174	3732096	3257553	3.68812
GA450L26	7022592	6082672	3826749	4.16988
GA450L27	5309566	4763236	3862353	4.26958
GA450L28	4209306	3756420	2933660	3.36807
GA450L29	4713006	4196596	3347720	3.76204
GA450L2	4354204	3924662	3450703	3.8318
GA450L30	4952972	4221980	2171463	2.69278
GA450L31	6302392	5983192	4411989	7.04014
GA450L33	6338056	6047734	3695008	5.96284
